DATE, EX_NUM, m, n, t, ERROR_UXY, ERROR_VXY, ERROR_DXY, MEAN_METHOD, BOOL_ALPHA_THETA, LOW_RANK_APPROX_METHOD, LRA_ITE, APF_METHOD, APF_ITE, error_min, error_max, SUBRESULTANT_FORMAT, RANK_REVEALING_METRIC 
22-Jun-2017 23:20:23,1,7,7,4,3.430927e-11,3.539185e-11,1.291818e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,Minimum Singular Values 
22-Jun-2017 23:20:23,2,13,11,8,1.248801e-02,5.717494e-07,3.328185e-07,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,TQ,Minimum Singular Values 
22-Jun-2017 23:20:27,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,R1 Row Diagonals 
22-Jun-2017 23:20:27,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:20:30,2,13,11,8,5.045414e-10,3.582510e-10,3.276477e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,R1 Row Norms 
22-Jun-2017 23:20:32,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
22-Jun-2017 23:20:33,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,Minimum Singular Values 
22-Jun-2017 23:20:36,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:20:38,2,13,11,8,5.045414e-10,3.582510e-10,3.276477e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,R1 Row Diagonals 
22-Jun-2017 23:20:40,4,10,12,8,1.351649e-11,2.519136e-11,5.310300e-01,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,R1 Row Norms 
22-Jun-2017 23:20:41,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Norms 
22-Jun-2017 23:20:46,2,13,11,8,5.045414e-10,3.582510e-10,3.276477e-10,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ,Minimum Singular Values 
22-Jun-2017 23:20:46,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DT,R1 Row Diagonals 
22-Jun-2017 23:20:46,4,10,12,8,1.351649e-11,2.519136e-11,5.310300e-01,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,R1 Row Diagonals 
22-Jun-2017 23:20:51,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,DT,Minimum Singular Values 
22-Jun-2017 23:20:52,3,20,21,16,1.590231e-08,1.793815e-08,2.871979e-09,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,T,Minimum Singular Values 
22-Jun-2017 23:20:53,4,10,12,8,1.351649e-11,2.519136e-11,5.310300e-01,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,Minimum Singular Values 
22-Jun-2017 23:20:54,2,13,11,8,4.976402e-10,3.582404e-10,1.613136e-01,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,R1 Row Norms 
22-Jun-2017 23:20:57,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Norms 
22-Jun-2017 23:21:01,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,T,R1 Row Norms 
22-Jun-2017 23:21:02,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,TQ,R1 Row Diagonals 
22-Jun-2017 23:21:02,2,13,11,8,4.976402e-10,3.582404e-10,1.613136e-01,Geometric Mean Matlab Method,1,None,0,None,0,1.000000e-12,1.000000e-10,DTQ Denominator Removed,R1 Row Diagonals 
22-Jun-2017 23:21:06,1,7,7,4,4.922176e-06,7.540764e-06,4.836975e-06,Geometric Mean Matlab Method,1,Standard STLN,6,None,0,1.000000e-12,1.000000e-10,TQ,Minimum Singular Values 
22-Jun-2017 23:21:08,4,10,12,8,1.351809e-11,2.519168e-11,1.198921e-11,Geometric Mean Matlab Method,1,Standard STLN,1,None,0,1.000000e-12,1.000000e-10,T,R1 Row Diagonals 
