DATE,EX_NUM,m,n,t,ERROR_DXY,MEAN_METHOD,BOOL_ALPHA_THETA,LOW_RANK_APPROX_METHOD,LRA_ITE,APF_METHOD,APF_ITE,error_min,error_max,Sylvester_Matrix_Type 
18-Nov-2016 11:14:32,3,16,17,14,1.161989e-05,Geometric Mean Matlab Method,n,Standard STLN,34,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:14:34,1,7,7,4,3.695612e-08,None,n,Standard SNTLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:14:40,3,16,17,14,3.677950e-09,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:14:41,1,7,7,4,5.055506e-08,None,n,Standard STLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:14:47,1,7,7,4,8.454110e-09,None,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:14:58,1,7,7,4,6.152499e-01,Geometric Mean Matlab Method,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:15:06,1,7,7,4,8.968742e-07,Geometric Mean Matlab Method,y,Standard STLN,5,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:15:13,1,7,7,4,3.150876e-11,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:15:23,1,7,7,4,4.569920e-05,Geometric Mean Matlab Method,n,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:15:28,3,16,17,14,2.787329e+00,None,y,Standard SNTLN,26,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:15:30,1,7,7,4,3.502420e-06,Geometric Mean Matlab Method,n,Standard STLN,27,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:15:36,1,7,7,4,8.637601e-11,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:15:48,1,7,7,4,6.153832e-01,None,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:15:55,1,7,7,4,2.084844e-06,None,y,Standard STLN,5,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:16:03,1,7,7,4,3.150293e-11,None,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:16:08,3,16,17,14,1.344193e-01,None,y,Standard STLN,2,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:16:14,1,7,7,4,9.158869e-06,None,n,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:16:21,1,7,7,4,4.858001e-06,None,n,Standard STLN,11,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:16:27,1,7,7,4,8.449631e-11,None,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:16:36,4,7,9,5,3.988509e+00,Geometric Mean Matlab Method,y,Standard SNTLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:16:45,4,7,9,5,1.273942e-09,Geometric Mean Matlab Method,y,Standard STLN,12,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:16:48,3,16,17,14,1.116938e-10,None,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:16:54,4,7,9,5,2.223306e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:17:05,4,7,9,5,4.887236e-03,Geometric Mean Matlab Method,n,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:17:11,4,7,9,5,1.349618e-08,Geometric Mean Matlab Method,n,Standard STLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:17:13,3,16,17,14,9.296368e-02,None,n,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:17:18,4,7,9,5,1.717431e-09,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:17:25,3,16,17,14,5.979046e-02,None,n,Standard STLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:17:26,4,7,9,5,3.988509e+00,None,y,Standard SNTLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:17:33,3,16,17,14,9.243273e-09,None,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:17:36,4,7,9,5,1.503533e-07,None,y,Standard STLN,50,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:17:42,4,7,9,5,2.223328e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:17:47,4,7,9,5,4.058067e-08,None,n,Standard SNTLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:17:53,4,7,9,5,3.717690e-08,None,n,Standard STLN,2,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:18:00,4,7,9,5,1.326776e-09,None,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:18:15,4,7,9,5,3.987750e+00,Geometric Mean Matlab Method,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:18:24,4,7,9,5,1.990574e-07,Geometric Mean Matlab Method,y,Standard STLN,7,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:18:33,4,7,9,5,2.231804e-10,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:18:43,4,7,9,5,1.172174e-05,Geometric Mean Matlab Method,n,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:18:48,4,7,9,5,2.736870e-06,Geometric Mean Matlab Method,n,Standard STLN,21,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:18:53,4,7,9,5,1.731788e-11,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:19:05,4,7,9,5,3.988210e+00,None,y,Standard SNTLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:19:14,4,7,9,5,2.409500e-08,None,y,Standard STLN,50,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:19:21,4,7,9,5,2.231769e-10,None,y,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:19:27,4,7,9,5,1.421893e-06,None,n,Standard SNTLN,5,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:19:33,4,7,9,5,1.597837e-06,None,n,Standard STLN,8,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:19:39,4,7,9,5,1.361550e-11,None,n,None,0,None,0,1.000000e-12,1.000000e-10,DTQ 
18-Nov-2016 11:21:59,2,13,11,8,6.841807e-05,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:22:16,3,16,17,14,1.502737e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:22:20,2,13,11,8,9.685246e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:22:40,2,13,11,8,9.685246e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:22:55,3,16,17,14,1.090195e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:23:03,2,13,11,8,6.365874e-05,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:23:10,2,13,11,9,,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:23:17,2,13,11,9,,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:23:24,2,13,11,9,,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:23:31,2,13,11,9,,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:23:38,3,16,17,14,1.090196e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:23:53,2,13,11,8,6.340496e-05,None,y,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:24:14,2,13,11,8,9.685222e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:24:16,3,16,17,14,1.502737e-08,Geometric Mean Matlab Method,y,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:24:24,3,16,17,14,3.814250e-08,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:24:33,3,16,17,14,3.657024e-07,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:24:36,2,13,11,8,9.685221e-08,None,y,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:24:41,3,16,17,14,3.656831e-07,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
18-Nov-2016 11:24:50,3,16,17,14,3.814275e-08,Geometric Mean Matlab Method,n,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:24:59,2,13,11,8,6.365877e-05,None,y,None,0,None,0,1.000000e-12,1.000000e-08,TQ 
18-Nov-2016 11:25:05,2,13,11,9,,None,n,None,0,None,0,1.000000e-12,1.000000e-08,T 
18-Nov-2016 11:25:12,2,13,11,9,,None,n,None,0,None,0,1.000000e-12,1.000000e-08,DT 
18-Nov-2016 11:25:18,2,13,11,10,,None,n,None,0,None,0,1.000000e-12,1.000000e-08,DTQ 
